POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
1,,Laurien†HOOS,NEDNED,13.52,0.174,100 m H,Heptathlon,F,2008
2,,Haili†LIU,CHNCHN,13.56,0.199,100 m H,Heptathlon,F,2008
3,,Karolina†TYMINSKA,POLPOL,13.62,0.177,100 m H,Heptathlon,F,2008
4,,Javur J.†SHOBHA,INDIND,13.62,0.21,100 m H,Heptathlon,F,2008
5,,Kylie†WHEELER,AUSAUS,13.68,0.18,100 m H,Heptathlon,F,2008
6,,Gretchen†QUINTANA,CUBCUB,13.77,0.171,100 m H,Heptathlon,F,2008
7,,Linda†Z‹BLIN,SUISUI,13.9,0.191,100 m H,Heptathlon,F,2008
8,,G. Pramila†AIYAPPA,INDIND,13.97,0.406,100 m H,Heptathlon,F,2008
9,,Sushmitha†SINGHA ROY,INDIND,14.11,0.262,100 m H,Heptathlon,F,2008
1,,Natallia†DOBRYNSKA,UKRUKR,13.44,0.192,100 m H,Heptathlon,F,2008
2,,Jolanda†KEIZER,NEDNED,13.9,0.247,100 m H,Heptathlon,F,2008
3,,Wassana†WINATHO,THATHA,13.93,0.211,100 m H,Heptathlon,F,2008
4,,AryirÛ†STRAT¡KI,GREGRE,14.05,0.224,100 m H,Heptathlon,F,2008
5,,Julie†HOLLMAN,GBRGBR,14.43,0.195,100 m H,Heptathlon,F,2008
6,,Kaie†KAND,ESTEST,14.47,0.242,100 m H,Heptathlon,F,2008
7,,Gyˆrgyi†ZSIVOCZKY-FARKAS,HUNHUN,14.66,0.236,100 m H,Heptathlon,F,2008
8,,Yana†MAKSIMAVA,BLRBLR,14.71,0.247,100 m H,Heptathlon,F,2008
,,Irina†KARPOVA,KAZKAZ,DNF,,100 m H,Heptathlon,F,2008
1,,Aiga†GRABUSTE,LATLAT,13.78,0.215,100 m H,Heptathlon,F,2008
2,,Niina†KELO,FINFIN,13.95,0.135,100 m H,Heptathlon,F,2008
3,,Yuliya†TARASOVA,UZBUZB,14.03,0.242,100 m H,Heptathlon,F,2008
4,,Ida†MARCUSSEN,NORNOR,14.07,0.158,100 m H,Heptathlon,F,2008
5,,Rebecca†WARDELL,NZLNZL,14.07,0.252,100 m H,Heptathlon,F,2008
6,,Viktorija†ùéEMAITYT…,LTULTU,14.44,0.175,100 m H,Heptathlon,F,2008
7,,Austra†SKUJYTE,LTULTU,14.46,0.18,100 m H,Heptathlon,F,2008
1,,Sonja†KESSELSCHLƒGER,GERGER,13.5,0.225,100 m H,Heptathlon,F,2008
2,,Lucimara†DA SILVA,BRABRA,13.55,0.177,100 m H,Heptathlon,F,2008
3,,Marie†COLLONVILL…,FRAFRA,13.57,0.169,100 m H,Heptathlon,F,2008
4,,Jennifer†OESER,GERGER,13.57,0.217,100 m H,Heptathlon,F,2008
5,,Tatyana†CHERNOVA,RUSRUS,13.65,0.213,100 m H,Heptathlon,F,2008
6,,Lilli†SCHWARZKOPF,GERGER,13.73,0.178,100 m H,Heptathlon,F,2008
7,,Kamila†CHUDZIK,POLPOL,13.79,0.221,100 m H,Heptathlon,F,2008
8,,Antoinette†NANA DJIMOU IDA,FRAFRA,13.85,0.172,100 m H,Heptathlon,F,2008
,,Lyudmyla†BLONSKA,UKRUKR,DQ,0.161,100 m H,Heptathlon,F,2008
1,,Hyleas†FOUNTAIN,USAUSA,12.78,0.226,100 m H,Heptathlon,F,2008
2,,Jessica†ZELINKA,CANCAN,12.97,0.179,100 m H,Heptathlon,F,2008
3,,Anna†BOGDANOVA,RUSRUS,13.09,0.126,100 m H,Heptathlon,F,2008
4,,Kelly†SOTHERTON,GBRGBR,13.18,0.214,100 m H,Heptathlon,F,2008
5,,Jacquelyn†JOHNSON,USAUSA,13.22,0.192,100 m H,Heptathlon,F,2008
6,,Hanna†KASYANOVA,UKRUKR,13.52,0.163,100 m H,Heptathlon,F,2008
7,,Olga†KURBAN,RUSRUS,13.77,0.195,100 m H,Heptathlon,F,2008
8,,Denisa†ROSOLOV¡,CZECZE,13.88,0.18,100 m H,Heptathlon,F,2008
9,,Diana†PICKLER,USAUSA,14.28,0.187,100 m H,Heptathlon,F,2008
1,,Usain†BOLT,JAMJAM,10.20 Q,0.186,100 m,Heats,M,2008
2,,Daniel†BAILEY,ANTANT,10.24 Q,0.198,100 m,Heats,M,2008
3,,Vicente†DE LIMA,BRABRA,10.26 Q,0.168,100 m,Heats,M,2008
4,,Henry†VIZCAÕNO,CUBCUB,10.28 q,0.157,100 m,Heats,M,2008
5,,Fabio†CERUTTI,ITAITA,10.49,0.136,100 m,Heats,M,2008
6,,Jurgen†THEMEN,SURSUR,10.61,0.179,100 m,Heats,M,2008
7,,Moses†KAMUT,VANVAN,10.81,0.181,100 m,Heats,M,2008
8,,Francis†MANIORU,SOLSOL,11.09,0.197,100 m,Heats,M,2008
1,,Asafa†POWELL,JAMJAM,10.16 Q,0.142,100 m,Heats,M,2008
2,,Kim†COLLINS,SKNSKN,10.17 Q,0.162,100 m,Heats,M,2008
3,,Craig†PICKERING,GBRGBR,10.21 Q,0.174,100 m,Heats,M,2008
4,,Daniel†GRUESO,COLCOL,10.35 q,0.178,100 m,Heats,M,2008
5,,Dariusz†KUC,POLPOL,10.44 q,0.144,100 m,Heats,M,2008
6,,Berenger Aymard†BOSSE,CAFCAF,10.51,0.144,100 m,Heats,M,2008
7,,Aisea†TOHI,TGATGA,11.17,0.159,100 m,Heats,M,2008
8,,Roman†CRESS,MHLMHL,11.18,0.19,100 m,Heats,M,2008
1,,Richard†THOMPSON,TTOTTO,10.24 Q,0.188,100 m,Heats,M,2008
2,,Martial†MBANDJOCK,FRAFRA,10.26 Q,0.162,100 m,Heats,M,2008
3,,Simone†COLLIO,ITAITA,10.32 Q,0.14,100 m,Heats,M,2008
4,,Aziz†ZAKARI,GHAGHA,10.34 q,0.177,100 m,Heats,M,2008
5,,Andrew†HINDS,BARBAR,10.35 q,0.14,100 m,Heats,M,2008
6,,Suryo Agung†WIBOWO,INAINA,10.46,0.175,100 m,Heats,M,2008
7,,Jared†LEWIS,VINVIN,11,0.123,100 m,Heats,M,2008
8,,Rabangaki†NAWAI,KIRKIR,11.29,0.152,100 m,Heats,M,2008
1,,Michael†FRATER,JAMJAM,10.15 Q,0.156,100 m,Heats,M,2008
2,,Pierre†BROWNE,CANCAN,10.22 Q,0.141,100 m,Heats,M,2008
3,,Darrel†BROWN,TTOTTO,10.22 Q,0.139,100 m,Heats,M,2008
4,,Nobuharu†ASAHARA,JPNJPN,10.25 q,0.16,100 m,Heats,M,2008
5,,Holder†DA SILVA,GBSGBS,10.58,0.184,100 m,Heats,M,2008
6,,Idrissa†SANOU,BURBUR,10.63,0.171,100 m,Heats,M,2008
7,,Ghyd Kermeliss†OLONGHOT,CGOCGO,11.01,0.172,100 m,Heats,M,2008
8,,Massoud†AZIZI,AFGAFG,11.45,0.16,100 m,Heats,M,2008
1,,Tyson†GAY,USAUSA,10.22 Q,0.148,100 m,Heats,M,2008
2,,Olusoji A.†FASUBA,NGRNGR,10.29 Q,0.156,100 m,Heats,M,2008
3,,JosÈ Carlos†MOREIRA,BRABRA,10.29 Q,0.192,100 m,Heats,M,2008
4,,¡ngel David†RODRÕGUEZ,ESPESP,10.34 q,0.145,100 m,Heats,M,2008
5,,Luk·ö†MILO,CZECZE,10.52,0.145,100 m,Heats,M,2008
6,,Mhadjou†YOUSSOUF,COMCOM,10.62,0.17,100 m,Heats,M,2008
7,,Danny†D'SOUZA,SEYSEY,11,0.18,100 m,Heats,M,2008
8,,Shanahan†SANITOA,ASAASA,12.6,0.158,100 m,Heats,M,2008
1,,Tyrone†EDGAR,GBRGBR,10.13 Q,0.138,100 m,Heats,M,2008
2,,Darvis†PATTON,USAUSA,10.25 Q,0.149,100 m,Heats,M,2008
3,,Ronald†POGNON,FRAFRA,10.26 Q,0.167,100 m,Heats,M,2008
4,,Kai†HU,CHNCHN,10.39 q,0.152,100 m,Heats,M,2008
5,,Abdullah†AL-SOOLI,OMAOMA,10.53,0.153,100 m,Heats,M,2008
6,,Desislav†GUNEV,BULBUL,10.66,0.152,100 m,Heats,M,2008
7,,Ali†SHAREEF,MDVMDV,11.11,0.171,100 m,Heats,M,2008
8,,Souksavanh†TONSACKTHEVA,LAOLAO,11.51,0.183,100 m,Heats,M,2008
1,,Francis†OBIKWELU,PORPOR,10.25 Q,0.19,100 m,Heats,M,2008
2,,Obinna†METU,NGRNGR,10.34 Q,0.176,100 m,Heats,M,2008
3,,Walter†DIX,USAUSA,10.35 Q,0.167,100 m,Heats,M,2008
4,,Anson†HENRY,CANCAN,10.37 q,0.138,100 m,Heats,M,2008
5,,Dmytro†HLUSHCHENKO,UKRUKR,10.57,0.2,100 m,Heats,M,2008
6,,Calvin†KANG LI LOONG,SGPSGP,10.73,0.14,100 m,Heats,M,2008
7,,Jesse†TAMANGROW,PLWPLW,11.38,0.146,100 m,Heats,M,2008
8,,Reginaldo†MICHA NDONG,GEQGEQ,11.61,0.242,100 m,Heats,M,2008
1,,Derrick†ATKINS,BAHBAH,10.28 Q,0.162,100 m,Heats,M,2008
2,,Andrey†EPISHIN,RUSRUS,10.34 Q,0.172,100 m,Heats,M,2008
3,,Jaysuma†SAIDY NDURE,NORNOR,10.37 Q,0.164,100 m,Heats,M,2008
4,,Uchenna†EMEDOLU,NGRNGR,10.46 q,0.192,100 m,Heats,M,2008
5,,Suwaibou†SANNEH,GAMGAM,10.52,0.157,100 m,Heats,M,2008
6,,Sandro†VIANA,BRABRA,10.6,0.16,100 m,Heats,M,2008
7,,Chun Ho†LAI,HKGHKG,10.63,0.199,100 m,Heats,M,2008
8,,Mohamed†ABU ABDULLAH,BANBAN,11.07,0.174,100 m,Heats,M,2008
1,,Marc†BURNS,TTOTTO,10.46 Q,0.16,100 m,Heats,M,2008
2,,Matic†OSOVNIKAR,SLOSLO,10.46 Q,0.187,100 m,Heats,M,2008
3,,Rolando†PALACIOS,HONHON,10.49,0.189,100 m,Heats,M,2008
4,,Ruslan†ABBASOV,AZEAZE,10.58,0.154,100 m,Heats,M,2008
5,,SÈbastien†GATTUSO,MONMON,10.7,0.164,100 m,Heats,M,2008
6,,Jack†HOWARD,FSMFSM,11.03,0.204,100 m,Heats,M,2008
7,,Gordon Teokotai†HEATHER,COKCOK,11.41,0.214,100 m,Heats,M,2008
,,Samuel†FRANCIS,QATQAT,DQ,0.153,100 m,Heats,M,2008
1,,Churandy†MARTINA,AHOAHO,10.35 Q,0.164,100 m,Heats,M,2008
2,,Naoki†TSUKAHARA,JPNJPN,10.39 Q,0.169,100 m,Heats,M,2008
3,,Simeon†WILLIAMSON,GBRGBR,10.42 Q,0.183,100 m,Heats,M,2008
4,,Tobias†UNGER,GERGER,10.46 q,0.161,100 m,Heats,M,2008
5,,Franklin†NAZARENO,ECUECU,10.6,0.178,100 m,Heats,M,2008
6,,Wilfried†BINGANGOYE,GABGAB,10.87,0.171,100 m,Heats,M,2008
7,,Moumi†SEBERGUE,CHACHA,11.14,0.21,100 m,Heats,M,2008
8,,Okilani†TINILAU,TUVTUV,11.48,0.174,100 m,Heats,M,2008
1,,Churandy†MARTINA,AHOAHO,9.99 Q,0.142,100 m,Quarter,M,2008
2,,Michael†FRATER,JAMJAM,10.09 Q,0.154,100 m,Quarter,M,2008
3,,Naoki†TSUKAHARA,JPNJPN,10.23 Q,0.156,100 m,Quarter,M,2008
4,,Simeon†WILLIAMSON,GBRGBR,10.32,0.127,100 m,Quarter,M,2008
5,,Henry†VIZCAÕNO,CUBCUB,10.33,0.167,100 m,Quarter,M,2008
6,,Pierre†BROWNE,CANCAN,10.36,0.144,100 m,Quarter,M,2008
7,,Dariusz†KUC,POLPOL,10.46,0.176,100 m,Quarter,M,2008
8,,Darrel†BROWN,TTOTTO,10.93,0.119,100 m,Quarter,M,2008
1,,Richard†THOMPSON,TTOTTO,9.99 Q,0.17,100 m,Quarter,M,2008
2,,Tyson†GAY,USAUSA,10.09 Q,0.146,100 m,Quarter,M,2008
3,,Martial†MBANDJOCK,FRAFRA,10.16 Q,0.16,100 m,Quarter,M,2008
4,,Olusoji A.†FASUBA,NGRNGR,10.21,0.147,100 m,Quarter,M,2008
5,,Andrew†HINDS,BARBAR,10.25,0.148,100 m,Quarter,M,2008
6,,JosÈ Carlos†MOREIRA,BRABRA,10.32,0.193,100 m,Quarter,M,2008
7,,Simone†COLLIO,ITAITA,10.33,0.138,100 m,Quarter,M,2008
8,,Daniel†GRUESO,COLCOL,10.37,0.193,100 m,Quarter,M,2008
1,,Marc†BURNS,TTOTTO,10.05 Q,0.174,100 m,Quarter,M,2008
2,,Kim†COLLINS,SKNSKN,10.07 Q,0.15,100 m,Quarter,M,2008
3,,Tyrone†EDGAR,GBRGBR,10.10 Q,0.13,100 m,Quarter,M,2008
4,,Ronald†POGNON,FRAFRA,10.21,0.167,100 m,Quarter,M,2008
5,,Matic†OSOVNIKAR,SLOSLO,10.24,0.171,100 m,Quarter,M,2008
6,,Tobias†UNGER,GERGER,10.36,0.136,100 m,Quarter,M,2008
7,,Nobuharu†ASAHARA,JPNJPN,10.37,0.145,100 m,Quarter,M,2008
,,Samuel†FRANCIS,QATQAT,DQ,0.164,100 m,Quarter,M,2008
1,,Usain†BOLT,JAMJAM,9.92 Q,0.165,100 m,Quarter,M,2008
2,,Darvis†PATTON,USAUSA,10.04 Q,0.159,100 m,Quarter,M,2008
3,,Francis†OBIKWELU,PORPOR,10.09 Q,0.168,100 m,Quarter,M,2008
4,,Jaysuma†SAIDY NDURE,NORNOR,10.14,0.133,100 m,Quarter,M,2008
5,,Craig†PICKERING,GBRGBR,10.18,0.144,100 m,Quarter,M,2008
6,,Obinna†METU,NGRNGR,10.27,0.174,100 m,Quarter,M,2008
7,,Anson†HENRY,CANCAN,10.33,0.142,100 m,Quarter,M,2008
8,,¡ngel David†RODRÕGUEZ,ESPESP,10.35,0.154,100 m,Quarter,M,2008
1,,Asafa†POWELL,JAMJAM,10.02 Q,0.149,100 m,Quarter,M,2008
2,,Walter†DIX,USAUSA,10.08 Q,0.163,100 m,Quarter,M,2008
3,,Derrick†ATKINS,BAHBAH,10.14 Q,0.179,100 m,Quarter,M,2008
4,,Daniel†BAILEY,ANTANT,10.23,0.149,100 m,Quarter,M,2008
5,,Aziz†ZAKARI,GHAGHA,10.24,0.167,100 m,Quarter,M,2008
6,,Andrey†EPISHIN,RUSRUS,10.25,0.158,100 m,Quarter,M,2008
7,,Vicente†DE LIMA,BRABRA,10.31,0.157,100 m,Quarter,M,2008
8,,Kai†HU,CHNCHN,10.4,0.165,100 m,Quarter,M,2008
1,,Usain†BOLT,JAMJAM,9.85 Q,0.161,100 m,Semi,M,2008
2,,Walter†DIX,USAUSA,9.95 Q,0.143,100 m,Semi,M,2008
3,,Marc†BURNS,TTOTTO,9.97 Q,0.124,100 m,Semi,M,2008
4,,Michael†FRATER,JAMJAM,10.01 Q,0.163,100 m,Semi,M,2008
5,,Kim†COLLINS,SKNSKN,10.05,0.163,100 m,Semi,M,2008
6,,Derrick†ATKINS,BAHBAH,10.13,0.159,100 m,Semi,M,2008
7,,Tyrone†EDGAR,GBRGBR,10.18,0.143,100 m,Semi,M,2008
,,Samuel†FRANCIS,QATQAT,DQ,0.146,100 m,Semi,M,2008
1,,Asafa†POWELL,JAMJAM,9.91 Q,0.161,100 m,Semi,M,2008
2,,Richard†THOMPSON,TTOTTO,9.93 Q,0.175,100 m,Semi,M,2008
3,,Churandy†MARTINA,AHOAHO,9.94 Q,0.138,100 m,Semi,M,2008
4,,Darvis†PATTON,USAUSA,10.03 Q,0.149,100 m,Semi,M,2008
5,,Tyson†GAY,USAUSA,10.05,0.145,100 m,Semi,M,2008
6,,Francis†OBIKWELU,PORPOR,10.1,0.157,100 m,Semi,M,2008
7,,Naoki†TSUKAHARA,JPNJPN,10.16,0.143,100 m,Semi,M,2008
8,,Martial†MBANDJOCK,FRAFRA,10.18,0.148,100 m,Semi,M,2008
1,,Usain†BOLT,JAMJAM,9.69,0.165,100 m,Final,M,2008
2,,Richard†THOMPSON,TTOTTO,9.89,0.133,100 m,Final,M,2008
3,,Walter†DIX,USAUSA,9.91,0.133,100 m,Final,M,2008
4,,Churandy†MARTINA,AHOAHO,9.93,0.169,100 m,Final,M,2008
5,,Asafa†POWELL,JAMJAM,9.95,0.134,100 m,Final,M,2008
6,,Michael†FRATER,JAMJAM,9.97,0.147,100 m,Final,M,2008
7,,Marc†BURNS,TTOTTO,10.01,0.145,100 m,Final,M,2008
8,,Darvis†PATTON,USAUSA,10.03,0.142,100 m,Final,M,2008
1,,Jolanda†KEIZER,NEDNED,23.97,0.247,200 m,Heptathlon,F,2008
2,,Anna†BOGDANOVA,RUSRUS,24.24,0.157,200 m,Heptathlon,F,2008
3,,Kylie†WHEELER,AUSAUS,24.28,0.176,200 m,Heptathlon,F,2008
4,,Gretchen†QUINTANA,CUBCUB,24.34,0.173,200 m,Heptathlon,F,2008
5,,Hanna†KASYANOVA,UKRUKR,24.35,0.226,200 m,Heptathlon,F,2008
6,,Rebecca†WARDELL,NZLNZL,24.64,0.181,200 m,Heptathlon,F,2008
7,,Kamila†CHUDZIK,POLPOL,25.36,0.233,200 m,Heptathlon,F,2008
,,Lyudmyla†BLONSKA,UKRUKR,DQ,0.127,200 m,Heptathlon,F,2008
,,Diana†PICKLER,USAUSA,DNS,,200 m,Heptathlon,F,2008
1,,Hyleas†FOUNTAIN,USAUSA,23.21,0.167,200 m,Heptathlon,F,2008
2,,Kelly†SOTHERTON,GBRGBR,23.39,0.226,200 m,Heptathlon,F,2008
3,,Karolina†TYMINSKA,POLPOL,23.39,0.175,200 m,Heptathlon,F,2008
4,,Jessica†ZELINKA,CANCAN,23.64,0.188,200 m,Heptathlon,F,2008
5,,Tatyana†CHERNOVA,RUSRUS,23.95,0.183,200 m,Heptathlon,F,2008
6,,Olga†KURBAN,RUSRUS,24.34,0.181,200 m,Heptathlon,F,2008
7,,Sushmitha†SINGHA ROY,INDIND,24.34,0.242,200 m,Heptathlon,F,2008
8,,G. Pramila†AIYAPPA,INDIND,24.92,0.247,200 m,Heptathlon,F,2008
,,Denisa†ROSOLOV¡,CZECZE,DNS,,200 m,Heptathlon,F,2008
1,,Yuliya†TARASOVA,UZBUZB,24.36,0.257,200 m,Heptathlon,F,2008
2,,Aiga†GRABUSTE,LATLAT,24.71,0.212,200 m,Heptathlon,F,2008
3,,Viktorija†ùéEMAITYT…,LTULTU,25.06,0.177,200 m,Heptathlon,F,2008
4,,Niina†KELO,FINFIN,25.9,0.158,200 m,Heptathlon,F,2008
5,,Yana†MAKSIMAVA,BLRBLR,25.94,0.281,200 m,Heptathlon,F,2008
6,,Gyˆrgyi†ZSIVOCZKY-FARKAS,HUNHUN,26.1,0.241,200 m,Heptathlon,F,2008
,,Irina†KARPOVA,KAZKAZ,DNS,,200 m,Heptathlon,F,2008
1,,Natallia†DOBRYNSKA,UKRUKR,24.39,0.206,200 m,Heptathlon,F,2008
2,,Ida†MARCUSSEN,NORNOR,25.02,0.219,200 m,Heptathlon,F,2008
3,,Marie†COLLONVILL…,FRAFRA,25.06,0.182,200 m,Heptathlon,F,2008
4,,Lilli†SCHWARZKOPF,GERGER,25.25,0.167,200 m,Heptathlon,F,2008
5,,Austra†SKUJYTE,LTULTU,25.4,0.179,200 m,Heptathlon,F,2008
6,,Julie†HOLLMAN,GBRGBR,25.41,0.188,200 m,Heptathlon,F,2008
7,,AryirÛ†STRAT¡KI,GREGRE,25.47,0.205,200 m,Heptathlon,F,2008
8,,Kaie†KAND,ESTEST,25.49,0.228,200 m,Heptathlon,F,2008
9,,Sonja†KESSELSCHLƒGER,GERGER,25.5,0.194,200 m,Heptathlon,F,2008
1,,Haili†LIU,CHNCHN,24.47,0.215,200 m,Heptathlon,F,2008
2,,Lucimara†DA SILVA,BRABRA,24.56,0.131,200 m,Heptathlon,F,2008
3,,Laurien†HOOS,NEDNED,24.57,0.157,200 m,Heptathlon,F,2008
4,,Javur J.†SHOBHA,INDIND,24.62,0.185,200 m,Heptathlon,F,2008
5,,Jennifer†OESER,GERGER,24.67,0.203,200 m,Heptathlon,F,2008
6,,Jacquelyn†JOHNSON,USAUSA,24.74,0.185,200 m,Heptathlon,F,2008
7,,Antoinette†NANA DJIMOU IDA,FRAFRA,24.9,0.198,200 m,Heptathlon,F,2008
8,,Linda†Z‹BLIN,SUISUI,24.99,0.21,200 m,Heptathlon,F,2008
,,Wassana†WINATHO,THATHA,DNS,,200 m,Heptathlon,F,2008
1,,Bershawn†JACKSON,USAUSA,49.20 Q,0.157,400 m H,Heats,M,2008
2,,Pieter†DE VILLIERS,RSARSA,49.24 Q,0.202,400 m H,Heats,M,2008
3,,Mahau†SUGUIMATI,BRABRA,49.45 Q,0.17,400 m H,Heats,M,2008
4,,Jonathan†WILLIAMS,BIZBIZ,49.61 q,0.175,400 m H,Heats,M,2008
5,,Kenji†NARISAKO,JPNJPN,49.63,0.163,400 m H,Heats,M,2008
6,,Edivaldo†MONTEIRO,PORPOR,49.89,0.16,400 m H,Heats,M,2008
7,,Harouna†GARBA,NIGNIG,55.14,0.291,400 m H,Heats,M,2008
1,,Angelo†TAYLOR,USAUSA,48.67 Q,0.158,400 m H,Heats,M,2008
2,,Danny†MCFARLANE,JAMJAM,48.86 Q,0.179,400 m H,Heats,M,2008
3,,Alwyn†MYBURGH,RSARSA,48.92 Q,0.148,400 m H,Heats,M,2008
4,,Bayano†KAMANI,PANPAN,49.05 q,0.174,400 m H,Heats,M,2008
5,,Aleksandr†DEREVYAGIN,RUSRUS,49.19 q,0.187,400 m H,Heats,M,2008
6,,Ibrahim†MAœGA,MLIMLI,50.57,0.229,400 m H,Heats,M,2008
1,,Markino†BUCKLEY,JAMJAM,48.65 Q,0.196,400 m H,Heats,M,2008
2,,L.J.†VAN ZYL,RSARSA,48.86 Q,0.179,400 m H,Heats,M,2008
3,,Marek†PLAWGO,POLPOL,49.17 Q,0.169,400 m H,Heats,M,2008
4,,Javier†CULSON,PURPUR,49.60 q,0.246,400 m H,Heats,M,2008
5,,Yan†MENG,CHNCHN,49.73,0.168,400 m H,Heats,M,2008
6,,Aleksey†POGORELOV,KGZKGZ,51.47,0.2,400 m H,Heats,M,2008
1,,Kerron†CLEMENT,USAUSA,49.42 Q,0.24,400 m H,Heats,M,2008
2,,PeriklÌs†IAKOV¡KIS,GREGRE,49.50 Q,0.178,400 m H,Heats,M,2008
3,,Isa†PHILLIPS,JAMJAM,49.55 Q,0.225,400 m H,Heats,M,2008
4,,Dai†TAMESUE,JPNJPN,49.82,0.214,400 m H,Heats,M,2008
5,,Felix†S¡NCHEZ,DOMDOM,51.1,0.184,400 m H,Heats,M,2008
6,,Mowen†BOINO,PNGPNG,51.47,0.25,400 m H,Heats,M,2008
,,Yevgeniy†MELESHENKO,KAZKAZ,DNF,0.272,400 m H,Heats,M,2008
1,,Angelo†TAYLOR,USAUSA,47.94 Q,0.164,400 m H,Semi,M,2008
2,,Bershawn†JACKSON,USAUSA,48.02 Q,0.164,400 m H,Semi,M,2008
3,,L.J.†VAN ZYL,RSARSA,48.57 Q,0.251,400 m H,Semi,M,2008
4,,Marek†PLAWGO,POLPOL,48.75 Q,0.318,400 m H,Semi,M,2008
5,,Isa†PHILLIPS,JAMJAM,48.85,0.294,400 m H,Semi,M,2008
6,,Aleksandr†DEREVYAGIN,RUSRUS,49.23,0.186,400 m H,Semi,M,2008
7,,Pieter†DE VILLIERS,RSARSA,49.44,0.172,400 m H,Semi,M,2008
8,,Javier†CULSON,PURPUR,49.85,0.248,400 m H,Semi,M,2008
1,,Kerron†CLEMENT,USAUSA,48.27 Q,0.316,400 m H,Semi,M,2008
2,,Danny†MCFARLANE,JAMJAM,48.33 Q,0.259,400 m H,Semi,M,2008
3,,Markino†BUCKLEY,JAMJAM,48.50 Q,0.306,400 m H,Semi,M,2008
4,,PeriklÌs†IAKOV¡KIS,GREGRE,48.69 Q,0.3,400 m H,Semi,M,2008
5,,Alwyn†MYBURGH,RSARSA,49.16,0.361,400 m H,Semi,M,2008
6,,Jonathan†WILLIAMS,BIZBIZ,49.64,0.166,400 m H,Semi,M,2008
7,,Mahau†SUGUIMATI,BRABRA,50.16,0.299,400 m H,Semi,M,2008
8,,Bayano†KAMANI,PANPAN,50.48,0.221,400 m H,Semi,M,2008
1,,Angelo†TAYLOR,USAUSA,47.25,0.164,400 m H,Final,M,2008
2,,Kerron†CLEMENT,USAUSA,47.98,0.265,400 m H,Final,M,2008
3,,Bershawn†JACKSON,USAUSA,48.06,0.145,400 m H,Final,M,2008
4,,Danny†MCFARLANE,JAMJAM,48.3,0.213,400 m H,Final,M,2008
5,,L.J.†VAN ZYL,RSARSA,48.42,0.253,400 m H,Final,M,2008
6,,Marek†PLAWGO,POLPOL,48.52,0.226,400 m H,Final,M,2008
7,,Markino†BUCKLEY,JAMJAM,48.6,0.264,400 m H,Final,M,2008
8,,PeriklÌs†IAKOV¡KIS,GREGRE,49.96,0.195,400 m H,Final,M,2008
1,,Torri†EDWARDS,USAUSA,11.26 Q,0.169,100 m,Heats,F,2008
2,,Jeanette†KWAKYE,GBRGBR,11.30 Q,0.142,100 m,Heats,F,2008
3,,Myriam LÈonie†MANI,CMRCMR,11.64 Q,0.151,100 m,Heats,F,2008
4,,Inna†EFTIMOVA,BULBUL,11.67,0.189,100 m,Heats,F,2008
5,,Jing†WANG,CHNCHN,11.87,0.188,100 m,Heats,F,2008
6,,Ani†KHACHIKYAN,ARMARM,12.76,0.204,100 m,Heats,F,2008
7,,Ivana†ROéHMAN,MKDMKD,12.92,0.233,100 m,Heats,F,2008
8,,Peoria†KOSHIBA,PLWPLW,13.18,0.174,100 m,Heats,F,2008
9,,Buthaina†AL-YAQOOBI,OMAOMA,13.9,0.18,100 m,Heats,F,2008
1,,Christine†ARRON,FRAFRA,11.37 Q,0.25,100 m,Heats,F,2008
2,,Lauryn†WILLIAMS,USAUSA,11.38 Q,0.183,100 m,Heats,F,2008
3,,Tahesia†HARRIGAN-SCOTT,IVBIVB,11.46 Q,0.188,100 m,Heats,F,2008
4,,Lucimar Aparecida†DE MOURA,BRABRA,11.60 q,0.163,100 m,Heats,F,2008
5,,Sherry†FLETCHER,GRNGRN,11.65,0.187,100 m,Heats,F,2008
6,,Danah†HUSSEIN,IRQIRQ,12.36,,100 m,Heats,F,2008
7,,Sadaf†SIDDIQUI,PAKPAK,12.41,0.273,100 m,Heats,F,2008
8,,Asenate†MANOA,TUVTUV,14.05,0.205,100 m,Heats,F,2008
1,,Muna†LEE,USAUSA,11.33 Q,0.219,100 m,Heats,F,2008
2,,Anita†PISTONE,ITAITA,11.43 Q,0.179,100 m,Heats,F,2008
3,,Guzel†KHUBBIEVA,UZBUZB,11.44 Q,0.142,100 m,Heats,F,2008
4,,Virgil†HODGE,SKNSKN,11.48 q,0.194,100 m,Heats,F,2008
5,,Natalia†RUSAKOVA,RUSRUS,11.61 q,0.201,100 m,Heats,F,2008
6,,Kin Yee†WAN,HKGHKG,12.37,0.151,100 m,Heats,F,2008
7,,Gharid†GHROUF,PLEPLE,13.07,0.242,100 m,Heats,F,2008
8,,Elis†LAPENMAL,VANVAN,13.31,0.215,100 m,Heats,F,2008
9,,Bonko†CAMARA,MTNMTN,13.69,0.202,100 m,Heats,F,2008
1,,Chandra†STURRUP,BAHBAH,11.30 Q,0.246,100 m,Heats,F,2008
2,,Kelly-Ann†BAPTISTE,TTOTTO,11.39 Q,0.204,100 m,Heats,F,2008
3,,Lina†GRINCIKAIT…-SAMUOLE,LTULTU,11.43 Q,0.168,100 m,Heats,F,2008
4,,Semoy†HACKETT,TTOTTO,11.53 q,0.21,100 m,Heats,F,2008
